rank,word,avg_rank,sources_count,rank_hermitdave,rank_orgtre,rank_wordfreq,count_hermitdave,count_orgtre,freq_wordfreq,rank_lip,count_lip,rank_news,count_news,rank_literature,count_literature,rank_wikipedia,count_wikipedia
242,subito,285.33,3,277,281,298,113842,266394,0.000295,1163,5391,962,319,374,1493,429,108837
243,facendo,285.67,3,216,215,426,149009,351974,0.000204,1000,6451,765,405,890,629,1006,50145
244,favore,286.67,3,204,216,440,157525,350606,0.0002,138,43226,523,621,895,623,1013,49592
245,persona,287.33,3,317,302,243,95254,238158,0.000372,1276,4824,1514,190,371,1497,816,58500
246,amico,289.00,3,164,169,534,205236,459655,0.00017,4150,1046,6840,25,487,1119,666,69874
247,soldi,289.00,3,232,251,384,135293,294922,0.000229,2977,1663,1096,275,3713,149,2890,18164
248,figlio,291.00,3,243,241,389,129115,304418,0.000224,6442,544,5609,34,372,1497,203,214124
249,basta,291.33,3,273,277,324,115835,268269,0.000269,1944,2923,2418,112,863,647,9224,4842
250,stati,292.00,3,359,357,160,79916,191312,0.000537,35,160683,39,6366,316,1721,89,454685
251,avevo,292.33,3,242,238,397,129167,304778,0.000219,2352,2250,4847,42,858,652,18642,1895
252,primo,294.00,3,368,378,136,78747,179476,0.000661,190,33123,218,1331,167,3613,65,589823
253,accordo,294.67,3,244,245,395,129100,302456,0.000219,194,32339,246,1160,1629,348,781,60798
254,cosi,296.33,3,98,94,697,369960,906780,0.000132,19560,78,15155,7,9776,50,32925,817
255,contro,299.00,3,386,374,137,74064,180131,0.000646,131,44499,169,1695,112,5194,93,448238
256,faccio,302.33,3,259,271,377,119853,271420,0.000229,2231,2422,11623,11,5077,107,27661,1061
257,giorni,302.33,3,354,368,185,81066,183199,0.000468,981,6593,1126,266,267,2089,342,134498
258,ragione,309.33,3,285,280,363,108483,266437,0.00024,513,12960,551,573,363,1517,2147,24861
259,anno,309.67,3,378,394,157,76410,172695,0.000537,302,20977,144,1904,253,2241,86,467597
260,buona,310.33,3,307,317,307,100038,221966,0.000282,707,9564,615,514,298,1839,1193,43361
261,comunque,310.67,3,352,354,226,82046,192078,0.000398,482,13574,659,479,2146,262,451,104762
262,far,311.00,3,361,345,227,79591,198448,0.000398,279,22922,353,902,136,4389,369,124850
263,possiamo,311.67,3,197,193,545,159449,389519,0.00017,223,28215,864,354,1137,494,5514,9044
264,faccia,312.00,3,275,273,388,114861,269824,0.000224,1626,3666,2545,104,395,1411,2623,20005
265,preso,312.67,3,268,267,403,117634,277880,0.000219,1018,6289,1561,183,463,1165,823,58181
266,siete,312.67,3,240,242,456,129317,304332,0.000195,3522,1321,13350,8,899,622,26337,1142
267,quale,316.00,3,394,401,153,72339,168630,0.000562,137,43266,374,845,49,10568,90,453251
268,ero,316.67,3,219,220,511,145812,343199,0.000178,3127,1562,4124,53,1356,412,14409,2702
269,notte,318.33,3,289,299,367,107292,241761,0.000234,4934,820,5532,35,309,1783,703,67004
270,beh,319.67,3,82,76,801,415077,1039379,0.000115,22474,59,25146,3,,1,,262
271,invece,319.67,3,396,377,186,71686,179591,0.000468,300,21201,181,1638,341,1615,188,226772
272,porta,320.00,3,308,313,339,98021,225129,0.000257,1710,3472,1357,217,215,2702,376,122178
273,avrebbe,320.67,3,327,321,314,88617,217674,0.000275,698,9634,316,972,242,2395,319,142558
274,quelle,321.33,3,366,360,238,78978,187847,0.00038,436,14720,465,703,143,4268,391,118347
275,uomini,321.67,3,339,331,295,85054,208599,0.000302,926,6983,1162,259,165,3676,389,118781
