rank	token	lemma_guess	count	cum_count	cum_pct_missing	cum_pct_corpus	category	english_gloss
3296	arrow	arrow	660	10301187	73.5999	4.2643	foreign_word	
3297	debra	debra	660	10301847	73.6047	4.2645	proper_noun	
3298	embolo	embolo	660	10302507	73.6094	4.2648	foreign_word	embolus
3299	fanne	fanne	660	10303167	73.6141	4.2651	residual	
3300	fighissimo	fighissimo	660	10303827	73.6188	4.2654	residual	
3301	insegnargli	insegnargli	660	10304487	73.6235	4.2656	tokeniser_fixable	
3302	joanie	joanie	660	10305147	73.6282	4.2659	proper_noun	
3303	lynch	lynch	660	10305807	73.6330	4.2662	numerals_acronyms	Lynch
3304	moses	moses	660	10306467	73.6377	4.2665	proper_noun	
3305	patton	patton	660	10307127	73.6424	4.2667	residual	
3306	piccioncini	piccioncini	660	10307787	73.6471	4.2670	residual	
3307	salutarlo	salutarlo	660	10308447	73.6518	4.2673	tokeniser_fixable	
3308	tandy	tandy	660	10309107	73.6565	4.2675	proper_noun	
3309	elisabeth	elisabeth	659	10309766	73.6612	4.2678	proper_noun	
3310	linden	linden	659	10310425	73.6659	4.2681	foreign_word	
3311	congratularmi	congratularmi	658	10311083	73.6706	4.2684	residual	
3312	furfante	furfante	658	10311741	73.6753	4.2686	residual	rascal, scoundrel
3313	genevieve	genevieve	658	10312399	73.6800	4.2689	proper_noun	
3314	irina	irina	658	10313057	73.6848	4.2692	proper_noun	
3315	jacqueline	jacqueline	658	10313715	73.6895	4.2695	proper_noun	
3316	cairo	cairo	657	10314372	73.6941	4.2697	foreign_word	
3317	crucchi	crucco	657	10315029	73.6988	4.2700	residual	Kraut
3318	diccelo	diccelo	657	10315686	73.7035	4.2703	tokeniser_fixable	
3319	edison	edison	657	10316343	73.7082	4.2705	residual	
3320	salvador	salvador	657	10317000	73.7129	4.2708	proper_noun	Salvador
3321	cardassiani	cardassiani	656	10317656	73.7176	4.2711	residual	
3322	comportarci	comportarci	656	10318312	73.7223	4.2714	tokeniser_fixable	
3323	fragolina	fragolina	656	10318968	73.7270	4.2716	residual	wild strawberry, wood strawberry
3324	jocelyn	jocelyn	656	10319624	73.7317	4.2719	proper_noun	
3325	sistemero	sistemero	656	10320280	73.7364	4.2722	residual	
3326	brownie	brownie	655	10320935	73.7410	4.2724	foreign_word	
3327	darglielo	darglielo	655	10321590	73.7457	4.2727	tokeniser_fixable	
3328	give	give	655	10322245	73.7504	4.2730	foreign_word	
3329	hakeem	hakeem	655	10322900	73.7551	4.2733	proper_noun	
3330	richiamarmi	richiamarmi	655	10323555	73.7598	4.2735	tokeniser_fixable	
3331	richiamero	richiamero	655	10324210	73.7644	4.2738	residual	
3332	sottaceti	sottaceti	655	10324865	73.7691	4.2741	residual	pickles
3333	ain'	ain'	654	10325519	73.7738	4.2743	residual	
3334	gettala	gettala	654	10326173	73.7785	4.2746	tokeniser_fixable	
3335	harmon	harmon	654	10326827	73.7831	4.2749	proper_noun	
3336	impegnarti	impegnarti	654	10327481	73.7878	4.2752	tokeniser_fixable	
3337	riposino	riposino	654	10328135	73.7925	4.2754	residual	nap
3338	valentina	valentina	654	10328789	73.7972	4.2757	proper_noun	a female given name, masculine equivalent Valentino, valentine
3339	armeria	armeria	653	10329442	73.8018	4.2760	foreign_word	armoury/armory, a collection of arms
3340	artificieri	artificiere	653	10330095	73.8065	4.2762	residual	artificer
3341	chow	chow	653	10330748	73.8111	4.2765	foreign_word	
3342	machete	machete	653	10331401	73.8158	4.2768	foreign_word	machete
3343	sottotitolato	sottotitolato	653	10332054	73.8205	4.2770	residual	subtitled
3344	spegnila	spegnila	653	10332707	73.8251	4.2773	residual	
3345	tirero	tirero	653	10333360	73.8298	4.2776	residual	
3346	vatti	vatti	653	10334013	73.8345	4.2779	residual	
3347	bypass	bypass	652	10334665	73.8391	4.2781	foreign_word	bypass
3348	dimenticarmi	dimenticarmi	652	10335317	73.8438	4.2784	tokeniser_fixable	
3349	dubois	dubois	652	10335969	73.8485	4.2787	residual	Dubois
3350	freeman	freeman	652	10336621	73.8531	4.2789	proper_noun	
3351	leela	leela	652	10337273	73.8578	4.2792	tokeniser_fixable	
3352	marlene	marlene	652	10337925	73.8624	4.2795	proper_noun	
3353	obsidian	obsidian	652	10338577	73.8671	4.2797	foreign_word	
3354	ricordarvi	ricordarvi	652	10339229	73.8717	4.2800	tokeniser_fixable	
3355	aldila	aldila	651	10339880	73.8764	4.2803	tokeniser_fixable	
3356	facendolo	facendolo	651	10340531	73.8810	4.2806	residual	
